3:08:39 PM  [main] 	Initializing Control Panel
3:08:39 PM  [main] 	Windows Version:  Home  64-bit
3:08:39 PM  [main] 	XAMPP Version: 8.2.12
3:08:39 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
3:08:39 PM  [main] 	You are not running with administrator rights! This will work for
3:08:39 PM  [main] 	most application stuff but whenever you do something with services
3:08:39 PM  [main] 	there will be a security dialogue or things will break! So think 
3:08:39 PM  [main] 	about running this application with administrator rights!
3:08:39 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
3:08:39 PM  [main] 	Checking for prerequisites
3:08:40 PM  [main] 	All prerequisites found
3:08:40 PM  [main] 	Initializing Modules
3:08:40 PM  [main] 	Starting Check-Timer
3:08:40 PM  [main] 	Control Panel Ready
3:08:42 PM  [Apache] 	Attempting to start Apache app...
3:08:43 PM  [Apache] 	Status change detected: running
3:08:43 PM  [mysql] 	Attempting to start MySQL app...
3:08:44 PM  [mysql] 	Status change detected: running
3:37:23 PM  [main] 	Deinitializing Modules
3:37:23 PM  [main] 	Deinitializing Control Panel

